Video frame number,Transmission Beginning Time
1,1713651298.5474215
2,1713651298.9262686
3,1713651299.3608665
4,1713651299.7835307
5,1713651300.1553757
6,1713651300.540841
7,1713651300.9649642
8,1713651301.2723289
9,1713651301.607162
10,1713651302.0961316
11,1713651302.7739682
12,1713651303.3138528
13,1713651303.737847
14,1713651304.1632571
15,1713651304.4182518
16,1713651304.9708424
17,1713651305.6690035
18,1713651305.928577
19,1713651306.4540753
20,1713651306.8062866
21,1713651307.5084178
22,1713651307.6762779
23,1713651308.1603382
24,1713651308.6332953
25,1713651309.0022874
26,1713651309.3562498
27,1713651309.7943068
28,1713651310.2605436
29,1713651310.2971635
30,1713651310.7809289
31,1713651311.4139168
32,1713651311.452657
33,1713651312.064404
34,1713651312.1176398
35,1713651312.7433655
36,1713651312.788139
37,1713651312.877623
38,1713651314.2378178
39,1713651314.2924438
40,1713651314.3361735
41,1713651314.4088547
42,1713651315.4570153
43,1713651315.5104058
44,1713651315.5545068
45,1713651317.6366222
46,1713651317.7693815
47,1713651317.8045266
48,1713651317.8557396
49,1713651319.3753598
50,1713651319.4176528
51,1713651319.4649925
52,1713651320.4242473
53,1713651320.4621186
54,1713651320.4998496
55,1713651321.9404595
56,1713651321.9839194
57,1713651322.026432
58,1713651322.85024
59,1713651322.8856409
60,1713651322.926109
61,1713651323.9709105
62,1713651324.0149999
63,1713651324.0598266
64,1713651325.247339
65,1713651325.2849872
66,1713651325.3206422
67,1713651326.2233074
68,1713651326.2622194
69,1713651327.011666
70,1713651327.0526469
71,1713651327.09007
72,1713651328.4763348
73,1713651328.5103827
74,1713651328.5456243
75,1713651329.797107
76,1713651329.8315175
77,1713651329.864978
78,1713651331.1278255
79,1713651331.1620166
80,1713651331.2014542
81,1713651331.6677666
82,1713651332.143047
83,1713651333.1307626
84,1713651333.165258
85,1713651333.328511
86,1713651333.8794982
87,1713651334.8813114
88,1713651335.263831
89,1713651335.6465554
90,1713651335.9371908
91,1713651336.3612363
92,1713651337.0324433
93,1713651337.6138978
94,1713651338.3169138
95,1713651339.0131862
96,1713651339.200441
97,1713651339.5728834
98,1713651340.0117362
99,1713651340.3076193
100,1713651340.5744584
101,1713651341.2307496
102,1713651342.068287
103,1713651342.7433813
104,1713651343.2618563
105,1713651343.5771828
106,1713651344.7854097
107,1713651344.9338574
108,1713651345.2014086
109,1713651345.7936451
110,1713651346.1562088
111,1713651346.3745985
112,1713651346.6488276
113,1713651347.3317132
114,1713651347.9169917
115,1713651349.1997125
116,1713651349.752749
117,1713651350.5083053
118,1713651350.8642735
119,1713651351.161412
120,1713651351.5895536
121,1713651352.0689461
122,1713651352.618342
123,1713651352.960392
124,1713651353.578968
125,1713651354.2548282
126,1713651354.7541633
127,1713651355.4377334
128,1713651356.1175969
129,1713651357.1169245
130,1713651357.546918
131,1713651358.0876334
132,1713651358.5494237
133,1713651359.0936298
134,1713651359.6317015
135,1713651360.2320356
136,1713651360.6784968
137,1713651361.2577734
138,1713651361.75559
139,1713651363.057774
140,1713651363.1092217
141,1713651364.9274209
142,1713651365.0223365
143,1713651365.1000903
144,1713651365.6187456
145,1713651366.0336277
146,1713651366.7393713
147,1713651367.624477
148,1713651368.312885
149,1713651368.7281513
150,1713651369.3603504
151,1713651369.7448199
152,1713651370.3748705
153,1713651370.943038
154,1713651371.3567877
155,1713651372.0515256
156,1713651372.468339
157,1713651373.4077199
158,1713651374.475515
159,1713651374.7818859
160,1713651375.0275192
161,1713651375.5375478
162,1713651376.059718
163,1713651376.3695772
164,1713651376.8886058
165,1713651380.4465973
166,1713651380.7170186
167,1713651381.6343489
168,1713651382.6305437
169,1713651383.5035677
170,1713651387.1387703
171,1713651387.238201
172,1713651387.3311768
173,1713651387.3979073
174,1713651387.462838
175,1713651387.556504
176,1713651387.658864
177,1713651388.255017
178,1713651388.5312676
179,1713651389.0737085
180,1713651389.4998825
181,1713651390.0041509
182,1713651390.369698
183,1713651390.791285
184,1713651391.3091564
185,1713651391.6797938
186,1713651392.2852497
187,1713651392.8297572
188,1713651393.601277
189,1713651393.7479005
190,1713651394.369718
191,1713651394.8870423
192,1713651395.5012934
193,1713651395.7724624
194,1713651396.3830807
195,1713651396.5591302
196,1713651396.9332933
197,1713651397.226605
198,1713651397.6832669
199,1713651398.0403953
200,1713651398.399239
201,1713651398.746307
202,1713651399.0853894
203,1713651399.665177
204,1713651400.319596
205,1713651400.874294
206,1713651401.34823
207,1713651401.8126323
208,1713651402.3763273
209,1713651402.8208349
210,1713651403.5910208
211,1713651404.1011982
212,1713651404.7317748
213,1713651405.1546934
214,1713651407.15537
215,1713651407.214852
216,1713651407.258463
217,1713651407.297037
218,1713651407.76033
219,1713651408.188906
220,1713651408.9108257
221,1713651409.4429545
222,1713651410.1149087
223,1713651416.706671
224,1713651416.8167853
225,1713651416.8799376
226,1713651416.9632862
227,1713651417.0838344
228,1713651417.1413326
229,1713651417.1970575
230,1713651417.2524643
231,1713651417.4542413
232,1713651418.3712423
233,1713651418.8249621
234,1713651419.8219855
235,1713651420.567708
236,1713651422.0406535
237,1713651422.4921207
238,1713651423.6558135
239,1713651424.324467
240,1713651425.0783951
241,1713651425.7412279
242,1713651427.4921722
243,1713651427.736342
244,1713651429.3389854
245,1713651430.490082
246,1713651430.741275
247,1713651430.8632557
248,1713651431.7335436
249,1713651431.8555145
250,1713651432.2443988
251,1713651432.971813
252,1713651433.3352268
253,1713651433.9134214
254,1713651434.7446702
255,1713651436.0772104
256,1713651436.1616666
257,1713651436.7561622
258,1713651437.391941
259,1713651437.998692
260,1713651438.6059277
261,1713651438.9959419
262,1713651439.4772604
263,1713651439.9504547
264,1713651442.4901507
265,1713651442.577598
266,1713651442.6264539
267,1713651442.6981142
268,1713651442.7641506
269,1713651442.819595
270,1713651443.1338735
271,1713651443.5336394
272,1713651444.5705364
273,1713651444.605922
274,1713651445.2239454
275,1713651445.3662012
276,1713651445.542621
277,1713651446.0103266
278,1713651446.9674642
279,1713651447.0025327
280,1713651447.3688204
281,1713651448.0217257
282,1713651448.3024626
283,1713651448.8068004
284,1713651449.2836306
285,1713651449.8489196
286,1713651450.2605357
287,1713651450.884473
288,1713651451.8140185
289,1713651451.8576427
290,1713651452.1101322
291,1713651452.504602
292,1713651453.023575
293,1713651453.4829779
294,1713651454.0547564
295,1713651454.4269695
296,1713651454.8414001
297,1713651455.4139278
298,1713651456.1720226
299,1713651456.8511913
300,1713651457.378701
301,1713651457.9027927
302,1713651458.5234816
303,1713651459.714154
304,1713651459.9953058
305,1713651460.3679733
306,1713651460.8854299
307,1713651461.413788
308,1713651462.0094526
309,1713651462.4752622
310,1713651463.900751
311,1713651464.0672383
312,1713651464.557045
313,1713651465.0622952
314,1713651465.6759148
315,1713651466.0548134
316,1713651466.5524359
317,1713651467.1115146
318,1713651467.6547954
319,1713651468.1513684
320,1713651469.390903
321,1713651469.4392247
322,1713651469.658164
323,1713651470.0351925
324,1713651470.3222513
325,1713651470.6502662
326,1713651471.0641403
327,1713651471.4013913
328,1713651471.6907837
329,1713651471.9896526
330,1713651472.2787504
331,1713651472.6364548
332,1713651472.8968015
333,1713651473.250215
334,1713651473.3973489
335,1713651473.7223654
336,1713651474.0921757
337,1713651474.3521497
338,1713651474.5909078
339,1713651475.0940137
340,1713651475.452616
341,1713651476.0213916
342,1713651476.5215886
343,1713651476.938035
344,1713651477.363726
345,1713651477.6693244
346,1713651478.1030476
347,1713651478.7003522
348,1713651479.1076593
349,1713651479.5389411
350,1713651480.0869997
351,1713651480.503136
352,1713651480.9409397
353,1713651481.4424834
354,1713651482.0872357
355,1713651482.634308
356,1713651482.8953788
357,1713651483.350896
358,1713651483.7065227
359,1713651484.1022263
360,1713651484.5199888
361,1713651485.0551429
362,1713651485.5529954
363,1713651486.0093594
364,1713651486.364783
365,1713651486.9044755
366,1713651487.3209012
367,1713651487.8001254
368,1713651488.2536788
369,1713651488.7959728
370,1713651489.4283752
371,1713651489.6362882
372,1713651489.9846432
373,1713651490.511619
374,1713651491.0002067
375,1713651491.436324
376,1713651491.838299
377,1713651492.1903017
378,1713651492.533778
379,1713651493.1977415
380,1713651493.7245822
381,1713651494.1270366
382,1713651494.626302
383,1713651494.7833781
384,1713651495.1710575
385,1713651495.5842922
386,1713651495.967661
387,1713651496.3557117
388,1713651496.9785542
389,1713651497.3031476
390,1713651497.6296985
391,1713651497.9968195
392,1713651498.4386134
393,1713651498.982005
394,1713651499.3265316
395,1713651499.6470625
396,1713651500.142321
397,1713651500.502491
398,1713651500.9582963
399,1713651501.2396688
400,1713651501.73457
401,1713651502.0785072
402,1713651502.4482179
403,1713651502.8731318
404,1713651503.3823838
405,1713651503.884586
406,1713651504.26578
407,1713651504.6460676
408,1713651505.0457566
409,1713651505.4501274
410,1713651505.6827714
411,1713651506.0821664
412,1713651506.4375715
413,1713651506.6883614
414,1713651507.1199872
415,1713651507.441022
416,1713651507.730525
417,1713651508.3531122
418,1713651508.4810133
419,1713651508.8470883
420,1713651509.1794233
421,1713651509.5472515
422,1713651510.0099049
423,1713651510.2805803
424,1713651510.6100523
425,1713651510.91158
426,1713651511.2848105
427,1713651511.7327368
428,1713651511.9816825
429,1713651512.3368084
430,1713651512.6737063
431,1713651512.9622293
432,1713651513.2313192
433,1713651513.7466486
